Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
EN4,NO2,01/01/2019 00:00,18.70000,ug m-3,R
EN4,NO2,01/04/2019 00:00,39.40000,ug m-3,R
EN4,NO2,01/07/2019 00:00,21.40000,ug m-3,R
EN4,NO2,01/10/2019 00:00,33.60000,ug m-3,R
EN4,NO2,01/01/2020 00:00,40.70000,ug m-3,R
EN4,NO2,01/04/2020 00:00,31.70000,ug m-3,R
EN4,NO2,01/07/2020 00:00,16.60000,ug m-3,R
EN4,NO2,06/10/2020 00:00,21.70000,ug m-3,R
BG2,NO2,01/01/2019 00:00,15.20000,ug m-3,R
BG2,NO2,01/04/2019 00:00,19.80000,ug m-3,R
BG2,NO2,01/07/2019 00:00,10.60000,ug m-3,R
BG2,NO2,01/10/2019 00:00,16.60000,ug m-3,R
BG2,NO2,01/01/2020 00:00,38.40000,ug m-3,R
BG2,NO2,01/04/2020 00:00,29.20000,ug m-3,R
BG2,NO2,01/07/2020 00:00,12.60000,ug m-3,R
BG2,NO2,01/10/2020 00:00,22.60000,ug m-3,R
CR5,NO2,01/01/2019 00:00,28.80000,ug m-3,R
CR5,NO2,01/04/2019 00:00,57.70000,ug m-3,R
CR5,NO2,01/07/2019 00:00,21.50000,ug m-3,R
CR5,NO2,01/10/2019 00:00,29.10000,ug m-3,R
CR5,NO2,01/01/2020 00:00,45.90000,ug m-3,R
CR5,NO2,01/04/2020 00:00,44.00000,ug m-3,R
CR5,NO2,01/07/2020 00:00,16.40000,ug m-3,R
CR5,NO2,01/10/2020 00:00,34.60000,ug m-3,R
EI3,NO2,01/01/2019 00:00,19.50000,ug m-3,R
EI3,NO2,01/04/2019 00:00,30.20000,ug m-3,R
EI3,NO2,01/07/2019 00:00,11.70000,ug m-3,R
EI3,NO2,01/10/2019 00:00,17.80000,ug m-3,R
EI3,NO2,01/01/2020 00:00,38.20000,ug m-3,R
EI3,NO2,01/04/2020 00:00,32.80000,ug m-3,R
EI3,NO2,01/07/2020 00:00,6.80000,ug m-3,R
EI3,NO2,01/10/2020 00:00,17.60000,ug m-3,R
WM6,NO2,01/01/2019 00:00,61.80000,ug m-3,R
WM6,NO2,01/04/2019 00:00,56.60000,ug m-3,R
WM6,NO2,01/07/2019 00:00,32.30000,ug m-3,R
WM6,NO2,01/10/2019 00:00,38.90000,ug m-3,R
WM6,NO2,01/01/2020 00:00,62.80000,ug m-3,R
WM6,NO2,01/04/2020 00:00,34.20000,ug m-3,R
WM6,NO2,01/07/2020 00:00,21.70000,ug m-3,R
WM6,NO2,01/10/2020 00:00,38.10000,ug m-3,R

