
"QS701EW - Method of travel to work"
"ONS Crown Copyright Reserved [from Nomis on 15 December 2023]"
"Population :","All usual residents aged 16 to 74"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"Method of Travel to Work","London"

"All categories: Method of travel to work",6117482
"Underground, metro, light rail, tram",902263
"Train",532720
"Bus, minibus or coach",561605
"Taxi",20314
"Motorcycle, scooter or moped",45976
"Driving a car or van",1120826
"Bicycle",161705
"On foot",352612



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""







"QS701EW - Method of travel to work"
"ONS Crown Copyright Reserved [from Nomis on 15 December 2023]"
"Population :","All usual residents aged 16 to 74"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Urban (total)"

"Method of Travel to Work","London"

"All categories: Method of travel to work",6105757
"Underground, metro, light rail, tram",901843
"Train",532097
"Bus, minibus or coach",561175
"Taxi",20280
"Motorcycle, scooter or moped",45890
"Driving a car or van",1116293
"Bicycle",161586
"On foot",351998



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

